"‘विष्णु’ का शाब्दिक अर्थ क्या है?", फैलाने वाला, समेटने वाला, बनाने वाला, मिटाने वाला, {1}, यह शब्द 'विश्' धातु से बना है जिसका अर्थ फैलाना होता है।

"‘भारत’ नाम का एक और अर्थ क्या है?", युद्ध भूमि, धार्मिक स्थान, भर्ता की भूमि, भोजन की भूमि, {3}, 'भारत' शब्द ऋषि भरत से जुड़ा हुआ है जो इस भूभाग के पहले शासक माने जाते हैं।

"प्राचीन भारत में 'जन' शब्द का प्रयोग किसके लिए होता था?", एक गांव के लिए, एक व्यक्ति के लिए, एक समूह के लिए, एक राजा के लिए, {3}, 'जन' का तात्पर्य लोगों के समूह से होता था।

"वेदों की रचना मुख्यतः किस भाषा में हुई थी?", प्राकृत, संस्कृत, पाली, अरबी, {2}, वेदों की रचना वैदिक संस्कृत में की गई थी।

"ऋग्वेद में 'सप्त सिंधु' से क्या तात्पर्य है?", सात पवित्र स्थान, सात देवी, सात नदियाँ, सात ऋषि, {3}, सप्त सिंधु का अर्थ सात नदियों से है जो वैदिक सभ्यता के केंद्र में थीं।

"ऋग्वेद का प्रमुख देवता कौन था?", अग्नि, इंद्र, वरुण, यम, {2}, इंद्र को युद्ध और वर्षा का देवता माना गया है और ऋग्वेद में सबसे अधिक ऋचाएं इन्हें समर्पित हैं।

"वैदिक काल में 'सभासद' का क्या कार्य होता था?", अनाज संग्रहण, युद्ध, प्रशासनिक सलाह, कृषि, {3}, सभा और समिति प्रशासनिक संस्थाएं थीं और सभासद इनके सदस्य होते थे।

"ऋग्वैदिक समाज में कौन प्रमुख आजीविका थी?", व्यापार, कृषि, सेवा, शिल्प, {2}, उस काल में अधिकांश लोग कृषक थे।

"ऋग्वेद में वर्ण व्यवस्था किस पर आधारित थी?", व्यवसाय पर, जन्म पर, धन पर, आयु पर, {1}, प्रारंभ में वर्ण व्यवस्था व्यवसाय पर आधारित थी।

"पुरोहित का प्रमुख कार्य क्या था?", अनाज संग्रह, युद्ध, यज्ञ संचालन, पशु पालन, {3}, वेदों में यज्ञ का महत्व था और पुरोहित यज्ञ का संचालन करते थे।

"ऋग्वेद में 'राजा' शब्द का प्रयोग किस लिए किया गया है?", न्यायाधीश, कर संग्रहक, सैन्य नेता, शिक्षक, {3}, राजा को जनों का नेता माना गया है।

"जनपद का शाब्दिक अर्थ क्या है?", पथ पर चलने वाला, भूमि पर पैर रखने वाला, युद्ध में विजेता, शिक्षक, {2}, जनपद का अर्थ होता है जहाँ लोग बसे हों।

"महाजनपदों की संख्या कितनी थी?", 8, 10, 16, 20, {3}, उस समय कुल 16 महाजनपदों का उल्लेख मिलता है।

"अवस्थाओं के अनुसार वर्ण कितने थे?", 2, 3, 4, 5, {3}, ब्राह्मण, क्षत्रिय, वैश्य और शूद्र चार वर्ण माने जाते थे।

"श्रमण परंपरा के प्रवर्तक कौन थे?", महावीर और बुद्ध, पाणिनी, पतंजलि, व्यास, {1}, दोनों ही श्रमण परंपरा से जुड़े थे जो तप और त्याग पर बल देती थी।

"जैन धर्म के अंतिम तीर्थंकर कौन थे?", ऋषभदेव, पार्श्वनाथ, महावीर, अजीतनाथ, {3}, महावीर 24वें और अंतिम तीर्थंकर माने जाते हैं।

"गौतम बुद्ध ने सर्वप्रथम उपदेश कहाँ दिया?", कुशीनगर, पाटलिपुत्र, सारनाथ, वैशाली, {3}, उन्होंने सारनाथ में धर्मचक्र प्रवर्तन किया।

"जैन धर्म के अनुयायियों को क्या कहा जाता है?", बौद्ध, श्रावक, यति, भिक्षु, {2}, जैन धर्म के अनुयायियों को श्रावक कहा जाता है।

"बौद्ध धर्म में 'संघ' का अर्थ क्या है?", युद्ध समूह, ग्राम सभा, भिक्षुओं का समुदाय, विद्यालय, {3}, संघ भिक्षुओं और भिक्षुणियों का समुदाय था।

"अशोक किस वंश का शासक था?", मौर्य, गुप्त, शुंग, सातवाहन, {1}, वह मौर्य वंश का तृतीय शासक था।

"अशोक का धर्म प्रचार किस युद्ध के बाद शुरू हुआ?", कुरुक्षेत्र युद्ध, कलिंग युद्ध, मगध युद्ध, तक्षशिला युद्ध, {2}, कलिंग युद्ध के बाद अशोक ने हिंसा त्याग दी।

"बौद्ध धर्म का पहला संगीति कहाँ हुआ था?", पाटलिपुत्र, वैशाली, राजगृह, सारनाथ, {3}, यह गौतम बुद्ध के निर्वाण के तुरंत बाद हुआ।

"महाजनपदों में सर्वप्रथम कौन शक्तिशाली बना?", कोशल, मगध, काशी, वज्जी, {2}, मगध अपनी राजनीति और सैन्य शक्ति से आगे बढ़ा।

"धनानंद किस वंश का अंतिम शासक था?", शिशुनाग, हर्यक, नंद, मौर्य, {3}, चंद्रगुप्त मौर्य ने धनानंद को हराकर मौर्य वंश की स्थापना की।

"चंद्रगुप्त मौर्य का गुरु कौन था?", पतंजलि, पाणिनी, कौटिल्य, वसुबंधु, {3}, कौटिल्य को चाणक्य भी कहा जाता है।

"अशोक के शिलालेख किस लिपि में मिलते हैं?", ब्राह्मी, नागरी, देवनागरी, फारसी, {1}, अधिकांश शिलालेख ब्राह्मी लिपि में लिखे गए हैं।

"कौटिल्य की पुस्तक का नाम क्या है?", अर्थशास्त्र, नीति शास्त्र, धनशास्त्र, राजनीति, {1}, यह पुस्तक राजनीति और प्रशासन पर आधारित है।

"गुप्त वंश का संस्थापक कौन था?", समुद्रगुप्त, चंद्रगुप्त प्रथम, कुमारगुप्त, स्कंदगुप्त, {2}, चंद्रगुप्त प्रथम ने गुप्त वंश की स्थापना की।

"समुद्रगुप्त को क्या उपाधि दी गई थी?", चक्रवर्ती, अश्वमेधक, कविराज, धर्मराज, {3}, वह एक महान कवि और योद्धा दोनों थे।

"गुप्त काल को किस रूप में जाना जाता है?", लोह युग, अंध युग, स्वर्ण युग, शोक युग, {3}, इस काल में कला, विज्ञान और साहित्य का उत्कर्ष हुआ।

"आर्यभट किस क्षेत्र के विद्वान थे?", चिकित्सा, खगोलशास्त्र और गणित, राजनीति, धर्मशास्त्र, {2}, वे प्रसिद्ध खगोलविद और गणितज्ञ थे।

"नालंदा विश्वविद्यालय की स्थापना किसने की थी?", समुद्रगुप्त ने, हर्षवर्धन ने, कुमारगुप्त ने, चंद्रगुप्त द्वितीय ने, {3}, कुमारगुप्त प्रथम ने इसकी स्थापना की थी।

"बौद्ध धर्म की शिक्षा किस भाषा में दी जाती थी?", संस्कृत, पाली, अरबी, प्राकृत, {2}, पाली भाषा आमजन की भाषा थी।

"अशोक के शिलालेखों का उद्देश्य क्या था?", कर वसूली, धार्मिक उपदेश देना, युद्ध घोषणा, व्यापार व्यवस्था, {2}, शिलालेखों द्वारा उन्होंने नैतिक शिक्षाएँ दीं।

"वैदिक सभ्यता का केंद्र कौन सा क्षेत्र था?", पंजाब, बिहार, गुजरात, बंगाल, {1}, सप्तसिंधु क्षेत्र ही वैदिक सभ्यता का केंद्र था।

"गुप्तकाल में किस विषय में प्रमुख प्रगति हुई?", गणित, साहित्य, विज्ञान, उपरोक्त सभी, {4}, गुप्तकाल को ज्ञान और कला का स्वर्ण युग माना गया।

"महावीर स्वामी का जन्म कहाँ हुआ था?", कुंडग्राम, लुंबिनी, पाटलिपुत्र, वैशाली, {1}, वे बिहार के कुंडग्राम में जन्मे थे।

"गौतम बुद्ध का जन्म कहाँ हुआ था?", सारनाथ, कपिलवस्तु, वैशाली, लुंबिनी, {4}, गौतम बुद्ध का जन्म लुंबिनी (वर्तमान नेपाल) में हुआ था।

"प्रथम बौद्ध संगीति का अध्यक्ष कौन था?", अशोक, उपाली, आनंद, महाकश्यप, {4}, महाकश्यप ने पहली संगीति की अध्यक्षता की थी।

"‘त्रिपिटक’ किस धर्म का प्रमुख ग्रंथ है?", जैन धर्म, हिंदू धर्म, बौद्ध धर्म, सिख धर्म, {3}, यह बौद्ध धर्म के मुख्य ग्रंथों में से एक है।

"महाजनपद काल में किस प्रकार की शासन प्रणाली थी?", लोकतांत्रिक, राजशाही, सैनिक शासन, धर्म आधारित, {2}, अधिकतर महाजनपदों में राजशाही पद्धति थी।

"राजगृह किस प्रसिद्ध संगीति का स्थल था?", पहली बौद्ध संगीति, दूसरी बौद्ध संगीति, तीसरी, चौथी, {1}, प्रथम संगीति राजगृह में हुई थी।

"‘धम्म’ का अर्थ बौद्ध धर्म में क्या होता है?", ईश्वर, आत्मा, सत्य और कर्तव्य, तपस्या, {3}, 'धम्म' का अर्थ सही आचरण और नैतिक जीवन है।

"प्राचीन भारत में शिक्षा का माध्यम क्या था?", अरबी, फारसी, मौखिक परंपरा, अंग्रेज़ी, {3}, शिक्षा गुरु-शिष्य परंपरा में मौखिक रूप से दी जाती थी।

"बौद्ध धर्म में किस चीज़ पर विशेष बल दिया गया?", आत्मा, ईश्वर, करुणा और मध्यम मार्ग, यज्ञ, {3}, बौद्ध धर्म मध्यम मार्ग और करुणा पर बल देता है।

"प्राचीन भारत में 'अहिंसा' की अवधारणा किसने दी थी?", अशोक, महावीर, बुद्ध, उपरोक्त सभी, {4}, तीनों ने ही अहिंसा को अपनाया और प्रचार किया।

"‘संघ’ की स्थापना किसने की?", महावीर ने, बुद्ध ने, अशोक ने, कौटिल्य ने, {2}, संघ की स्थापना गौतम बुद्ध ने की थी।

"‘चरक संहिता’ किस विषय से संबंधित है?", ज्योतिष, खगोल, चिकित्सा, राजनीति, {3}, यह आयुर्वेद का प्राचीन ग्रंथ है।

"कनिष्क किस वंश से संबंधित थे?", मौर्य, गुप्त, कुषाण, नंद, {3}, कनिष्क कुषाण वंश का शासक था।

"बौद्ध धर्म की महायान शाखा का प्रमुख केंद्र कौन था?", काशी, नालंदा, अमरावती, तक्षशिला, {2}, नालंदा विश्वविद्यालय महायान बौद्ध शिक्षा का प्रमुख केंद्र था।
